,product_width_cm,product_le,product_id,price,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm
1920,16.0,3060,17606c7d7254ed1f0351fd48a28be932,44.99,cama_mesa_banho,53.0,640.0,2.0,1100.0,16.0,10.0
3926,19.0,14742,727017cd91a0361b8ae4cfcff15e9682,59.9,utilidades_domesticas,45.0,207.0,1.0,1200.0,19.0,22.0
3928,48.0,8896,44b63b148b673cb9a06672f06683b9b4,124.99,cama_mesa_banho,40.0,384.0,1.0,2555.0,55.0,17.0
5094,35.0,6321,30d1842be9c62546d3fb853119602ac2,180.0,eletrodomesticos_2,50.0,914.0,3.0,11900.0,65.0,35.0
6379,16.0,24340,be62f0c24387eae79f18265ad2a5d8cc,24.9,esporte_lazer,60.0,2214.0,1.0,4100.0,16.0,10.0
6410,11.0,3423,1a06a6a66ab23d70e02b8f92650e268f,7.9,casa_conforto,33.0,360.0,3.0,150.0,16.0,2.0
6419,19.0,746,0602bc6086443c4e9b9e5ba88119ce08,66.0,perfumaria,32.0,219.0,1.0,133.0,21.0,12.0
7498,12.0,163,014d94f219fbff1166b9cf700eee36b2,199.9,relogios_presentes,50.0,556.0,1.0,400.0,18.0,12.0
7499,13.0,7615,3ac5a9834cdb5e3a4e47c3535adbff74,169.9,relogios_presentes,51.0,667.0,1.0,350.0,20.0,13.0
7699,40.0,16014,7c37e152261f0a96f89c364bd971a90b,20.0,casa_construcao,56.0,1081.0,4.0,300.0,100.0,6.0
7947,15.0,573,04d70d184a7c12c93cecd9c0d8b5ad69,110.32,beleza_saude,60.0,918.0,1.0,150.0,22.0,3.0
10275,15.0,30012,ea546947e2412f88a20ac74103592b42,137.9,beleza_saude,60.0,918.0,1.0,200.0,22.0,3.0
10276,15.0,6030,2e2b9bfa91068239d5fb2b39764b92a5,137.9,beleza_saude,69.0,918.0,1.0,50.0,22.0,3.0
10920,11.0,22418,afab5f7ab5c82f92ddcdc46c4cd85fbc,24.9,fashion_bolsas_e_acessorios,36.0,95.0,6.0,150.0,16.0,9.0
11687,15.0,22852,b2fb8ccacff645e701cd692064ad09c9,36.99,cama_mesa_banho,56.0,95.0,1.0,550.0,20.0,10.0
11693,15.0,6388,315c6373ff469f7b7f60bbb36c319f7b,36.99,cama_mesa_banho,56.0,105.0,1.0,550.0,20.0,10.0
11695,15.0,10932,54971206521793b44053a9c348d148c2,36.99,cama_mesa_banho,56.0,95.0,1.0,500.0,20.0,10.0
11697,15.0,10965,54d9260785f11c05ad373ce8465212da,47.99,cama_mesa_banho,60.0,106.0,1.0,750.0,20.0,10.0
12142,14.0,10241,4f27f0b527bb700ed8541270356a38f3,28.9,esporte_lazer,56.0,687.0,1.0,374.0,22.0,14.0
13470,30.0,8150,3eeb9c7bc48cbf70ee22b1b1361bd0c3,189.9,moveis_decoracao,45.0,2359.0,2.0,7600.0,50.0,30.0
13820,15.0,25147,c47696608d548c9999a92966e435b3f6,99.9,esporte_lazer,43.0,248.0,2.0,850.0,60.0,15.0
13899,16.0,27747,d83cba631d40af7f65eeac52132ee096,49.9,utilidades_domesticas,27.0,758.0,1.0,450.0,16.0,12.0
13946,25.0,1741,0d86df06a3a526cbe70d2e56c50a0b7a,130.0,informatica_acessorios,26.0,978.0,3.0,1400.0,25.0,15.0
14708,17.0,3029,1716ea399ed8ee62ba811e6f55180f45,3.49,automotivo,25.0,712.0,1.0,200.0,21.0,17.0
14932,60.0,14390,6fe7ef5f743e7b92a2c74264f40d0437,148.7,Sin Información,Sin Información,Sin Información,Sin Información,6100.0,80.0,5.0
15670,16.0,27525,d670c0f6be30a062ebd8f8612ea82d71,178.9,telefonia_fixa,39.0,975.0,3.0,450.0,16.0,8.0
16196,19.0,26450,ce49d8be84e535ca2a5eb0e76c09c348,89.0,fashion_bolsas_e_acessorios,45.0,1012.0,6.0,100.0,17.0,5.0
16348,16.0,24536,bfde0959ec5f62871403b693d2fe68d2,69.99,cama_mesa_banho,59.0,403.0,1.0,850.0,16.0,10.0
16350,16.0,24198,bd5110ad5f718f7c3dded1c18b4b135e,69.99,cama_mesa_banho,58.0,402.0,1.0,950.0,16.0,10.0
16352,16.0,14962,73fbb5c7d95425e37d003af6ee943997,69.99,cama_mesa_banho,57.0,404.0,1.0,800.0,16.0,10.0
17084,11.0,986,07a6e4e1f838d9d39277d13c9b411dc4,69.9,fashion_bolsas_e_acessorios,50.0,729.0,6.0,100.0,16.0,9.0
17085,17.0,18216,8e3e3059aabb0c13679db43619590ad5,199.9,fashion_bolsas_e_acessorios,47.0,388.0,4.0,200.0,17.0,9.0
17334,45.0,15521,784c94d1803e49492d2758907914b26c,109.9,pet_shop,55.0,852.0,1.0,20800.0,40.0,40.0
19094,12.0,21033,a4d8943cfb74fde740be042b8a042d8d,165.0,ferramentas_jardim,57.0,1123.0,1.0,2700.0,34.0,37.0
19363,25.0,9705,4afba85a48ad3d91d79215ba93ddb023,24.9,utilidades_domesticas,46.0,166.0,3.0,800.0,25.0,25.0
19364,25.0,23466,b7c82520f8817fc72f7f5ac962035260,24.9,utilidades_domesticas,46.0,206.0,3.0,50.0,25.0,25.0
19680,20.0,11946,5c995522494b7e399aa98537516e1c20,99.99,cama_mesa_banho,39.0,276.0,1.0,1650.0,30.0,10.0
19750,35.0,1678,0cf1296fa38622de944eb05701b4ff34,46.8,Sin Información,Sin Información,Sin Información,Sin Información,1200.0,35.0,35.0
20521,13.0,32739,ffb2e8c1ddc7c3e590d2bc4c91de53e1,48.99,moveis_decoracao,43.0,534.0,1.0,600.0,65.0,2.0
20522,13.0,9256,479d5974c7824b584a62c88885c957b4,48.99,moveis_decoracao,49.0,534.0,1.0,600.0,65.0,2.0
22349,38.0,21922,ac20a9614b6db9e7289b85c4f4b6216a,40.0,eletrodomesticos,59.0,190.0,1.0,1250.0,65.0,8.0
22881,11.0,28181,dbb274a4fa7cdd5e025c365b70a41d99,24.9,fashion_bolsas_e_acessorios,45.0,403.0,3.0,100.0,16.0,9.0
22882,11.0,14773,72acc66d907f5fa13bcd1df22696c73a,24.9,fashion_bolsas_e_acessorios,59.0,443.0,5.0,150.0,16.0,5.0
23622,25.0,3438,1a14237ecc2fe3772b55c8d4e11ccb35,14.9,moveis_decoracao,58.0,1405.0,3.0,150.0,35.0,2.0
23623,35.0,31592,f6bd09259655a78e706a0caa947299db,9.99,moveis_decoracao,45.0,568.0,1.0,300.0,35.0,10.0
23860,20.0,20755,a25583531530c0913ea4dee2c5c73685,7.0,perfumaria,30.0,138.0,1.0,150.0,20.0,7.0
23862,16.0,10592,521527593ca1726b992318e034dd5690,19.99,perfumaria,30.0,138.0,1.0,150.0,22.0,7.0
23894,35.0,9907,4c9d4ba4d612c9cb5c7180d711077d33,76.99,cama_mesa_banho,55.0,410.0,1.0,1800.0,40.0,8.0
24107,16.0,21888,abe2c60707c1e11cfa710dc7328b4bf6,35.0,cama_mesa_banho,53.0,208.0,1.0,450.0,16.0,10.0
26235,45.0,29402,e57ef623983cba8948397a3d7d52adc4,58.99,cama_mesa_banho,40.0,583.0,1.0,1450.0,35.0,19.0
26236,45.0,19194,9668ae227893ed924319574e98f60c7d,58.99,cama_mesa_banho,43.0,582.0,1.0,1350.0,35.0,19.0
26652,20.0,14449,7052c556fc966a2321d570f3c5a8790f,7.5,utilidades_domesticas,52.0,404.0,1.0,9800.0,25.0,10.0
27021,30.0,662,0581c05e8e3c0d17ea0ef8904419ec00,52.0,utilidades_domesticas,59.0,667.0,1.0,1250.0,30.0,30.0
27890,16.0,19684,99e365fea0b15ee63272ff391fdde785,38.99,cama_mesa_banho,58.0,697.0,1.0,550.0,16.0,10.0
27942,13.0,24651,c0ad0886177197bdbb891829bafc45d2,40.0,eletrodomesticos,59.0,113.0,1.0,250.0,18.0,8.0
28429,13.0,21511,a8d2c5e8f29550a539f377d977f10a52,90.0,beleza_saude,43.0,1263.0,1.0,225.0,17.0,8.0
28527,20.0,6294,309dd69eb83cea38c51709d62befe1a4,56.0,construcao_ferramentas_construcao,57.0,338.0,1.0,2150.0,20.0,8.0
28555,11.0,29522,e68a066cb80e14f049aa01ede58bf0f6,41.3,fashion_bolsas_e_acessorios,52.0,1519.0,2.0,300.0,16.0,2.0
29076,20.0,186,016cae136d358dcdacbd7ac9f1864c09,59.0,esporte_lazer,53.0,236.0,2.0,300.0,30.0,5.0
29215,23.0,13607,69b7c4bad8ca0c2cddad020c139f7e95,79.9,moveis_decoracao,63.0,635.0,10.0,3600.0,38.0,15.0
29216,30.0,25860,c9c64ed470b1fd9239c456fd6fe99738,449.89,cama_mesa_banho,51.0,807.0,2.0,6125.0,35.0,25.0
29319,15.0,32745,ffbc83054b3741a8d67fc59d9cf9d42d,44.9,utilidades_domesticas,48.0,231.0,3.0,800.0,16.0,16.0
29429,24.0,9318,480e6d74b9b908faec73816883591ee4,29.9,utilidades_domesticas,36.0,308.0,2.0,550.0,21.0,22.0
29431,15.0,19981,9c46567584228684abb9695a398d0f18,29.9,utilidades_domesticas,59.0,324.0,4.0,550.0,20.0,15.0
29512,15.0,7197,37c4c3f162a9549087175b1391df2f02,49.39,beleza_saude,30.0,530.0,1.0,975.0,19.0,12.0
29581,15.0,13020,6562dd6467621f6b5ab019a96d4ee8c7,329.99,automotivo,56.0,920.0,1.0,9850.0,56.0,15.0
29582,20.0,20046,9cbec25d85737b76d6903fff22c80dbe,75.0,papelaria,49.0,483.0,2.0,700.0,20.0,20.0
30030,11.0,24672,c0d4027067afcf9c1697cce981b8fed6,7.9,pet_shop,63.0,1269.0,1.0,200.0,16.0,2.0
30241,15.0,8011,3de0f67a3747dbf94f485e9f5843b02d,145.0,beleza_saude,54.0,797.0,2.0,200.0,20.0,10.0
30320,20.0,66,009c09f439988bc06a93d6b8186dce73,132.4,perfumaria,39.0,991.0,3.0,150.0,20.0,20.0
30449,16.0,22071,ad0bce7600c071e450d162970917de7d,105.6,cama_mesa_banho,53.0,444.0,2.0,750.0,50.0,16.0
30776,35.0,15298,76bc323604f948b202f4b159ac3ef4ee,239.99,utilidades_domesticas,55.0,429.0,3.0,16850.0,35.0,40.0
31747,55.0,22602,b0ff78dc1b5fdca6b5d9ec76cfe4cc3b,70.0,moveis_decoracao,56.0,279.0,2.0,18250.0,55.0,30.0
31767,25.0,6011,2e0a1c70d32cd53538dba96b8cae229b,64.0,automotivo,60.0,336.0,1.0,150.0,25.0,20.0
31769,11.0,32628,fef0dd8c53552d0f784b7cc5375a3ffe,33.9,automotivo,48.0,1069.0,1.0,600.0,16.0,2.0
31802,23.0,24826,c201a862c6018d402222594d5229c613,129.9,automotivo,56.0,916.0,1.0,1675.0,35.0,8.0
32279,20.0,17473,88646c24f1972c70b1da7ab8ff378d8f,49.0,cama_mesa_banho,53.0,279.0,1.0,850.0,40.0,20.0
32280,20.0,25102,c41eca01a8bceb6c987b2a935a5ad1cb,49.0,cama_mesa_banho,53.0,253.0,1.0,1550.0,40.0,20.0
32424,60.0,769,061fa9845070ffff2d23e8e10bdf8edc,46.99,moveis_decoracao,63.0,516.0,2.0,700.0,80.0,10.0
32543,12.0,23925,bb09cce52b336261572a5a7e25a33795,13.1,utilidades_domesticas,59.0,943.0,1.0,550.0,16.0,25.0
32544,20.0,9713,4b15c9a92a5637d71143577edd7718b1,18.9,utilidades_domesticas,52.0,1098.0,1.0,850.0,16.0,25.0
32545,11.0,16726,8213da1c8eae3aa3fa5c70d87fc1581c,18.13,utilidades_domesticas,50.0,1002.0,1.0,550.0,16.0,32.0
32856,11.0,7235,38021cef829efa264df6f9d21c4df6e9,119.87,instrumentos_musicais,37.0,182.0,1.0,250.0,24.0,10.0
32858,16.0,27674,d7a3cfa08519494aa1ad181e803617ec,23.03,brinquedos,37.0,512.0,1.0,400.0,20.0,11.0
33532,11.0,31936,f97d74310019b255120e4316f4515d74,39.9,fashion_bolsas_e_acessorios,34.0,426.0,4.0,200.0,16.0,9.0
33944,34.0,16803,82cff05560eae73466f8778690b037fa,349.9,cama_mesa_banho,51.0,434.0,1.0,2700.0,44.0,19.0
33954,20.0,18594,91472a5abca63bed91ade04c71c203ce,19.8,cama_mesa_banho,36.0,496.0,1.0,100.0,27.0,5.0
34105,16.0,21556,a925c2de748323d87a9a854884672e03,19.9,utilidades_domesticas,58.0,686.0,2.0,350.0,30.0,10.0
34233,20.0,14719,7248b99ff380f23a1094ff737a1112fb,104.99,casa_conforto,58.0,435.0,1.0,2000.0,20.0,16.0
34235,20.0,16782,829b1d3da6a5e54d51055338281a5dfe,88.99,casa_conforto,58.0,432.0,1.0,2000.0,20.0,16.0
34446,36.0,17851,8b90be4893a4277a9f33c5b2348cf9c6,109.99,cama_mesa_banho,60.0,632.0,2.0,2000.0,42.0,10.0
34448,36.0,32083,fa94f25a73969e3a25d52706e246dfcc,109.99,cama_mesa_banho,61.0,632.0,2.0,1700.0,42.0,10.0
34449,37.0,22485,b01cedfa96d891427058852f0625e9ee,259.99,Sin Información,Sin Información,Sin Información,Sin Información,4900.0,42.0,16.0
34860,30.0,13147,664d6e6b4227a0fc34582be4a6cc6448,62.3,moveis_decoracao,58.0,573.0,1.0,1650.0,30.0,35.0
34862,25.0,3283,19040720293c3389f764e7b18f9395ac,41.89,moveis_decoracao,37.0,436.0,1.0,3100.0,30.0,30.0
35292,20.0,2236,1118c2ea35cd20b94fe2a16c483cd1a4,199.0,telefonia,54.0,818.0,5.0,300.0,20.0,3.0
35808,20.0,8473,417cb83dd485ee72fb499bc6c5cd69c1,125.0,moveis_decoracao,46.0,283.0,1.0,2000.0,30.0,30.0
36251,15.0,9409,48cb52f0fb8853d4c1d26cdf27612265,15.0,automotivo,57.0,862.0,1.0,350.0,20.0,15.0
36556,16.0,25093,c40b12e92be6aee40cc2adab6693820c,190.0,beleza_saude,36.0,1514.0,1.0,1100.0,30.0,12.0
36621,40.0,30146,eb58d9eb4488178a84d9df65e7a42ad4,228.99,utilidades_domesticas,58.0,743.0,2.0,920.0,50.0,10.0
37348,14.0,13169,6680a7d71fdc0fe6b6b9a4bef51ea187,7.99,beleza_saude,34.0,661.0,1.0,400.0,19.0,12.0
37350,12.0,10422,50b3e51a19f3784534cbaf9c275dfea5,33.99,telefonia,36.0,218.0,1.0,100.0,20.0,5.0
37462,16.0,26146,cc01f8e6114f2ff5a829ccc55d62f132,497.0,relogios_presentes,56.0,1024.0,1.0,500.0,24.0,12.0
37463,18.0,5174,274c0bd39936b237bdb8cee38abf94f5,429.0,relogios_presentes,53.0,665.0,1.0,250.0,28.0,10.0
37606,20.0,27168,d3c3a9ea27f69d8137ff129a53ec4740,49.99,construcao_ferramentas_construcao,60.0,339.0,1.0,1450.0,20.0,8.0
37608,21.0,10390,507914b4af243e0589c389ac50545ef6,69.0,construcao_ferramentas_construcao,55.0,337.0,1.0,1900.0,21.0,8.0
37619,25.0,10915,5479f02af4cde2ebe8801cf2b05cd49b,188.0,construcao_ferramentas_construcao,54.0,339.0,1.0,4700.0,25.0,8.0
37654,30.0,6490,32267de030005084d4b6af64f22143b8,110.0,moveis_decoracao,51.0,567.0,1.0,1150.0,30.0,10.0
37655,27.0,8264,3fd04b238d42b022434a07519d30a354,110.0,moveis_decoracao,51.0,567.0,1.0,2400.0,30.0,10.0
37804,40.0,12865,642247ccf62585635cefa1bf09f59b94,65.9,cama_mesa_banho,25.0,180.0,2.0,900.0,30.0,4.0
38291,23.0,5811,2c6c5761d3367fd186effcf2922d125e,14.99,beleza_saude,53.0,171.0,2.0,50.0,19.0,11.0
38293,23.0,30096,eaeca85086b0c4f68351e52deb944e16,14.99,beleza_saude,52.0,171.0,2.0,50.0,19.0,11.0
38337,14.0,12811,63bd0e7bb0fdb40cbd6777aa5c7d5a56,80.0,brinquedos,42.0,637.0,1.0,300.0,18.0,16.0
38338,14.0,21532,a8f944abeac7d4fc5f2663bd8f22f931,89.9,brinquedos,39.0,387.0,1.0,367.0,17.0,13.0
38393,35.0,29139,e34f7accdfa3f3f2ab0c16db77858f6d,139.9,cama_mesa_banho,57.0,385.0,1.0,1800.0,45.0,15.0
38394,35.0,7034,368ab9ae54053acc2a79f2e9f5fb4cbf,139.9,cama_mesa_banho,54.0,385.0,1.0,1800.0,45.0,15.0
38531,16.0,23337,b6cefe1d620b9208fe6fae76b2c72887,65.0,bebes,38.0,1636.0,1.0,200.0,16.0,5.0
38534,15.0,21656,aa0568a1b7093748a1922993f5817983,10.0,bebes,33.0,943.0,1.0,200.0,16.0,5.0
38634,12.0,19788,9ab9b4cd7716f676ce8417012a107119,169.0,beleza_saude,48.0,1016.0,1.0,650.0,14.0,11.0
38817,38.0,9753,4b7528d093f5acaec2a072366a4106bc,82.4,cama_mesa_banho,34.0,304.0,2.0,1100.0,33.0,9.0
38824,11.0,27780,d881b7a2ce3e484f379f751df4c709ce,24.5,construcao_ferramentas_construcao,49.0,249.0,1.0,200.0,16.0,5.0
38829,21.0,31385,f5068d43799fc3243cf62b290d885d3e,64.9,consoles_games,55.0,546.0,5.0,400.0,16.0,6.0
38832,21.0,30394,ed5f0d58e27cf65a07283c251747936f,59.9,consoles_games,55.0,864.0,6.0,350.0,18.0,18.0
38945,15.0,3753,1c6fb703c624b381a20f21f757694866,97.88,brinquedos,33.0,471.0,2.0,725.0,22.0,17.0
39437,24.0,8067,3e67af30c5e3eae465fbf496aa88fc8b,89.9,esporte_lazer,46.0,1352.0,3.0,450.0,28.0,13.0
39478,15.0,29972,ea0698c943d7a9133e6d36de68654750,136.0,beleza_saude,42.0,413.0,1.0,500.0,16.0,18.0
39526,15.0,14339,6f86fa71a6aa21f45e317590aacd0c3f,45.0,utilidades_domesticas,60.0,466.0,4.0,400.0,24.0,10.0
39528,15.0,20894,a3816405c56f1df398541ee9c498b056,29.0,utilidades_domesticas,60.0,465.0,4.0,300.0,20.0,11.0
40539,15.0,22239,ae7d28dfad9876194f728695f1a51283,110.32,beleza_saude,60.0,918.0,1.0,150.0,22.0,3.0
40622,16.0,20824,a2ee607f03a8f581d1625b68fbaa6166,27.99,cama_mesa_banho,53.0,222.0,1.0,550.0,16.0,10.0
40623,16.0,12420,608396ec032711eb443596cb8cdce050,34.99,cama_mesa_banho,57.0,212.0,1.0,500.0,16.0,10.0
40850,35.0,13798,6b6b162b177d0f36987993aecbe1c65f,109.99,pet_shop,36.0,876.0,1.0,20450.0,35.0,35.0
40851,40.0,10049,4dba4de4cd67ba2191c34468ac2ca841,38.9,pet_shop,64.0,600.0,6.0,13250.0,55.0,36.0
40892,16.0,3982,1e2841e311d4b0bb5cd837dca5ada1c7,49.9,pet_shop,49.0,246.0,2.0,200.0,20.0,8.0
41280,11.0,29549,e6b314a2236c162ede1a879f1075430f,23.48,informatica_acessorios,47.0,284.0,1.0,167.0,24.0,14.0
41302,11.0,22103,ad4b5def91ac7c575dbdf65b5be311f4,18.9,informatica_acessorios,55.0,665.0,1.0,250.0,39.0,9.0
41313,11.0,8670,42f14eda412436b96cde4f4025ed5f25,93.33,esporte_lazer,47.0,154.0,3.0,500.0,16.0,2.0
41408,11.0,23135,b5694f734bee2683d25bb188a7f45b40,8.0,papelaria,50.0,684.0,2.0,100.0,16.0,2.0
41409,11.0,31926,f9677c35e1360591bd6b86e3c5c20181,9.0,papelaria,34.0,684.0,2.0,300.0,16.0,5.0
41735,21.0,8806,4419a003d42a243227478f2a949722d8,120.0,beleza_saude,27.0,1026.0,2.0,850.0,25.0,6.0
41737,15.0,1443,0b3de7b77f38988388362460d76d884f,92.0,beleza_saude,31.0,838.0,3.0,350.0,20.0,12.0
41975,21.0,11758,5b1f3328a2c6f837ecce21bca1489939,69.0,construcao_ferramentas_construcao,54.0,337.0,1.0,2850.0,21.0,8.0
42300,20.0,19401,97c6f57881227cc97e87be3e34f108f8,169.0,esporte_lazer,56.0,2580.0,2.0,1450.0,20.0,25.0
42512,16.0,12939,64c8ed0f7f4b571f9aa5f2488999d316,239.12,perfumaria,60.0,193.0,1.0,1200.0,16.0,16.0
42674,16.0,30602,eede3ead395a8bdfb3ca7cbf6e0cb421,219.9,construcao_ferramentas_iluminacao,54.0,565.0,3.0,300.0,19.0,16.0
42675,20.0,27388,d568eba76717c34870be82a2e9a194cc,1349.9,construcao_ferramentas_jardim,59.0,2170.0,2.0,3300.0,25.0,18.0
42894,20.0,31395,f516d692e2bf83614119de3286a12fca,39.9,moveis_decoracao,44.0,192.0,2.0,400.0,18.0,10.0
43089,20.0,5595,2ac6c3f94b62b0d60ac5b907bdb42cd4,29.9,fashion_bolsas_e_acessorios,56.0,1410.0,1.0,200.0,16.0,2.0
43111,31.0,627,053c1c7045cfb67d04d8c5a8dc9fc054,169.9,cama_mesa_banho,58.0,402.0,1.0,1650.0,31.0,9.0
43362,16.0,1469,0b6f7f321aeac91ef72512bbae664b13,119.34,esporte_lazer,57.0,938.0,4.0,5400.0,16.0,50.0
43453,23.0,19081,9578d6732c124f549834fbe8c02e51df,59.9,automotivo,57.0,703.0,6.0,4650.0,47.0,19.0
43454,26.0,31543,f649a2fc406930962c1cd7b147497a79,49.9,ferramentas_jardim,50.0,905.0,4.0,400.0,35.0,10.0
43927,40.0,9084,4638e41e1c53018897e12edbb2815807,378.0,automotivo,56.0,1436.0,3.0,10700.0,40.0,20.0
44059,15.0,1943,0eda670810c42c5fcf92ca8be2a615a9,38.48,esporte_lazer,55.0,365.0,3.0,150.0,18.0,6.0
44142,16.0,10020,4d8ac542663b1d53ccdae075bc2a15ed,20.0,informatica_acessorios,54.0,228.0,2.0,300.0,27.0,10.0
44387,18.0,3055,174f6dbd30e54c690ac97b27a3a793fa,19.5,beleza_saude,57.0,752.0,1.0,200.0,26.0,6.0
44389,18.0,16341,7efc9c66bf68e3026c7846b0ec3e8682,9.5,beleza_saude,42.0,375.0,1.0,350.0,26.0,5.0
44472,48.0,10301,4fad4b56635e58d6f0534f39b5614512,79.8,utilidades_domesticas,42.0,2665.0,1.0,1850.0,43.0,48.0
44617,90.0,9212,4737840499dd8ffb4c3e54caf8a3ab9a,179.9,moveis_decoracao,63.0,181.0,2.0,13700.0,100.0,7.0
44618,90.0,9501,497afaeae8d825d8938d01e92007f654,179.9,moveis_decoracao,63.0,188.0,1.0,13700.0,100.0,7.0
45144,31.0,27447,d5d9e871a07a5ba84cef719ad92f0ab9,35.9,eletrodomesticos,55.0,101.0,1.0,725.0,40.0,14.0
45321,35.0,7766,3c14f8a3874197fe07fe94b4d5d9af86,93.45,moveis_decoracao,52.0,517.0,2.0,2850.0,35.0,30.0
45322,52.0,14964,74006af1917b5e79f78f35767fa221ba,129.95,casa_construcao,55.0,910.0,6.0,9950.0,52.0,22.0
45591,28.0,16434,7fd6586464df3ea9bad637e34580c186,59.99,informatica_acessorios,48.0,540.0,3.0,700.0,38.0,12.0
45894,11.0,1149,09061028f7ee991c6f2c294e19d344dd,59.9,fashion_bolsas_e_acessorios,50.0,549.0,5.0,1100.0,16.0,5.0
46048,20.0,5325,289d248f6a9046a0f0be47cda2b45537,13.99,esporte_lazer,31.0,542.0,5.0,250.0,25.0,25.0
46063,38.0,5645,2b284ca976943311c427da3bba8f47ff,129.9,esporte_lazer,47.0,524.0,3.0,750.0,23.0,28.0
46126,11.0,10770,5368f8caaa939da050e8dfd7d08fde62,11.9,Sin Información,Sin Información,Sin Información,Sin Información,150.0,16.0,12.0
46127,11.0,27884,d951b7ee80638f0b34111a091327be42,11.9,perfumaria,54.0,522.0,1.0,150.0,16.0,12.0
46200,34.0,20398,9f7878d3613e4e7f43b8a4860267a8d3,115.0,utilidades_domesticas,57.0,106.0,1.0,1150.0,103.0,4.0
46418,20.0,31072,f27782bee7a6ae6435305c7b46e5f44b,89.99,alimentos_bebidas,50.0,1984.0,1.0,550.0,20.0,20.0
46419,20.0,13389,6811d911869c98aed7eadc3478bebe72,79.99,alimentos_bebidas,57.0,2298.0,1.0,500.0,20.0,20.0
47087,23.0,31177,f35013cb05a9538a4428fa6161b2c96b,59.9,cama_mesa_banho,60.0,680.0,1.0,1275.0,19.0,17.0
47224,16.0,23599,b8983274d38e4c05381bc3c80af2ad2e,54.9,esporte_lazer,52.0,1416.0,1.0,300.0,16.0,16.0
47272,20.0,6504,32459442f3b850918e20febc47c9edfb,39.9,esporte_lazer,56.0,344.0,3.0,300.0,25.0,12.0
47274,20.0,3439,1a1607ff3b9bced214efc0a8cdfb2510,39.9,esporte_lazer,52.0,342.0,4.0,300.0,25.0,12.0
47339,20.0,22933,b3a1fe8d08e0a299fed9f7cf9eb6c81f,89.9,brinquedos,44.0,999.0,2.0,400.0,20.0,10.0
47652,16.0,16510,80619103c2b3bc2fe8358f9c3c0bd2c7,35.9,perfumaria,24.0,347.0,1.0,100.0,16.0,16.0
47653,20.0,19169,963de692a94b199318977a5f0819636b,35.99,market_place,36.0,1196.0,5.0,300.0,19.0,5.0
47724,33.0,17872,8bb27b1d96be90b36b8d0c7f30931d52,290.0,utilidades_domesticas,30.0,622.0,1.0,5950.0,33.0,26.0
48017,25.0,8626,4299211de0fa49785bb3115aa2b25c61,19.9,brinquedos,44.0,956.0,3.0,200.0,20.0,25.0
48275,31.0,27188,d3ed5f1ed25b2b1f8f152a68a88b2966,54.0,brinquedos,37.0,340.0,2.0,750.0,25.0,13.0
48437,35.0,20106,9d274c8de79fabb3f4c65b64b9feb02c,269.9,cama_mesa_banho,60.0,501.0,1.0,7800.0,40.0,15.0
48517,25.0,24048,bbf920aa6ac72007a726e6f419156f8f,39.9,moveis_decoracao,42.0,303.0,2.0,1300.0,25.0,16.0
48595,25.0,22922,b386ba93c190eb3114ed44584a207b10,14.9,esporte_lazer,33.0,143.0,2.0,150.0,25.0,25.0
48598,12.0,8526,41e153b95adc3c7f781b583292f312cd,39.8,utilidades_domesticas,45.0,285.0,3.0,600.0,16.0,15.0
49274,18.0,2710,14ad6805c263d8d758d648f46a06570e,46.33,bebes,30.0,782.0,1.0,350.0,18.0,14.0
49388,16.0,25622,c804537dd3a8ff5f94d3ee384eccfb98,19.9,cama_mesa_banho,52.0,149.0,1.0,150.0,16.0,10.0
49390,16.0,30109,eb048e296b8db6cd64b1bafd9500786c,19.9,cama_mesa_banho,52.0,149.0,1.0,250.0,16.0,10.0
49472,11.0,6420,31a2fd4c489928b895ded31469fcbb5d,34.9,fashion_bolsas_e_acessorios,40.0,417.0,4.0,150.0,16.0,9.0
49681,36.0,17240,86766d5e84f560b949d8a4582e9fdbdb,189.99,cama_mesa_banho,63.0,665.0,1.0,2910.0,42.0,16.0
50134,13.0,11570,59ae536b07c3621a400369e60805398b,69.9,cama_mesa_banho,56.0,281.0,2.0,1200.0,41.0,13.0
50135,45.0,90,00d2fa6f2a87633084c8e0400d41a65a,113.9,cama_mesa_banho,41.0,312.0,1.0,18550.0,54.0,35.0
51013,18.0,7461,39cdb64dad488a6037d828d1cd514255,22.5,casa_construcao,60.0,890.0,2.0,300.0,28.0,9.0
51014,15.0,7513,3a1d2391ad7b58b404bce1939446332b,139.9,casa_construcao,55.0,322.0,1.0,800.0,20.0,25.0
51351,30.0,14146,6e2a68aa94eb2a3b5b3499bf2314d544,251.92,cama_mesa_banho,46.0,513.0,2.0,1900.0,40.0,10.0
51488,26.0,5587,2aba8009f50472b2eda33e9e2bb3ef6f,27.9,Sin Información,Sin Información,Sin Información,Sin Información,750.0,19.0,6.0
52019,40.0,30160,eb8851552616597cd924ef25f16706ed,69.97,cama_mesa_banho,60.0,584.0,1.0,2400.0,16.0,50.0
